time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-14T17:46:51.420Z,36.6975,-121.3381667,4.19,3.21,ml,58,101,0.01199,0.11,nc,nc73856845,2023-03-18T08:56:26.362Z,"10km S of Tres Pinos, CA",earthquake,0.19,0.41,0.144,77,reviewed,nc,nc
2023-03-14T16:36:02.820Z,35.5876,22.1207,32.581,5.4,mww,139,36,4.518,0.96,us,us7000jjve,2023-03-26T17:33:10.667Z,central Mediterranean Sea,earthquake,6.68,3.512,0.04,61,reviewed,us,us
2023-03-14T10:13:18.680Z,37.5213333,-117.971,-1.23,3.88,mw,35,117,0.3153,0.07,nc,nc73856670,2023-03-29T03:34:21.744Z,"17km N of Deep Springs, CA",earthquake,0.21,0.44,,3,reviewed,nc,nc
2023-03-14T05:00:29.240Z,37.5176667,-117.9835,0.11,3.82,mw,34,144,0.3054,0.1,nc,nc73856490,2023-03-29T04:19:11.591Z,"16km N of Deep Springs, CA",earthquake,0.28,0.87,,3,reviewed,nc,nc
2023-03-14T04:24:47.869Z,-56.6166,-141.7516,10,5.5,mww,42,85,31.32,0.8,us,us7000jju1,2023-03-30T05:06:20.346Z,Pacific-Antarctic Ridge,earthquake,12.78,1.287,0.089,12,reviewed,us,us
2023-03-14T04:22:45.585Z,37.1856,-104.7712,7.063,3.5,ml,14,74,0.064,0.43,us,us7000jjr4,2023-03-19T01:05:09.352Z,"6 km NNW of Segundo, Colorado",earthquake,1.74,2.558,0.036,99,reviewed,us,us
2023-03-14T00:49:08.501Z,-5.4058,146.8537,213,6.3,mww,168,13,3.985,0.5,us,us7000jjp7,2023-03-17T10:54:56.293Z,"eastern New Guinea region, Papua New Guinea",earthquake,7.86,1.875,0.041,57,reviewed,us,us
2023-03-13T22:14:02.480Z,34.1996667,-116.9315,8.77,3.09,ml,143,18,0.06311,0.16,ci,ci40184319,2023-03-28T23:40:35.040Z,"5km SSW of Big Bear Lake, CA",earthquake,0.08,0.23,0.12,237,reviewed,ci,ci
2023-03-13T09:04:09.358Z,56.189,-149.6039,15.706,3.5,ml,54,241,2.283,0.77,us,us7000jjhv,2023-03-22T01:54:05.408Z,"227 km SE of Chiniak, Alaska",earthquake,10.11,8.877,0.057,40,reviewed,us,us
2023-03-12T23:45:54.000Z,51.4681,176.6809,35,3.8,mb,42,193,1.236,0.4,us,us7000jjfm,2023-03-29T04:46:40.040Z,"284 km SE of Attu Station, Alaska",earthquake,7.02,1.983,0.17,9,reviewed,us,us
2023-03-12T11:52:34.241Z,51.4945,-178.3041,32.989,4.1,ml,42,194,0.324,0.79,us,us7000jjdg,2023-03-24T07:53:02.040Z,"122 km WSW of Adak, Alaska",earthquake,4.28,5.659,0.081,20,reviewed,us,us
2023-03-12T07:43:20.334Z,-12.0577,165.8247,10,5.7,mww,67,58,3.626,0.71,us,us7000jjax,2023-03-13T13:07:33.040Z,"147 km S of Lata, Solomon Islands",earthquake,8.73,1.87,0.057,30,reviewed,us,us
2023-03-12T03:03:57.624Z,44.6271,-116.0795,14.76,3.9,ml,25,49,0.464,0.48,us,us7000jj9w,2023-03-14T00:15:26.404Z,"11 km S of Donnelly, Idaho",earthquake,2.09,8.209,0.027,176,reviewed,us,us
2023-03-11T19:47:10.692Z,51.8958,-178.1383,9.317,4,mb,42,96,0.021,0.68,us,us7000jj6c,2023-03-21T14:32:06.501Z,"103 km W of Adak, Alaska",earthquake,2.67,2.608,0.134,16,reviewed,us,us
2023-03-11T13:29:46.144Z,-16.3501,177.4615,10,5.5,mww,61,60,1.498,0.81,us,us7000jj4s,2023-03-14T04:05:33.397Z,"132 km N of Ba, Fiji",earthquake,7.82,1.848,0.057,30,reviewed,us,us
2023-03-11T00:38:58.759Z,51.2339,-178.2776,35,4.6,mwr,125,138,0.464,0.91,us,us7000jj0x,2023-03-21T14:28:04.098Z,"134 km WSW of Adak, Alaska",earthquake,4.65,1.868,0.098,10,reviewed,us,us
2023-03-10T20:31:36.320Z,37.1762,-104.7282,6.065,3.9,mwr,15,70,0.07,0.97,us,us7000jiyi,2023-03-12T04:21:25.436Z,Colorado,earthquake,3.16,5.231,0.044,49,reviewed,us,us
2023-03-10T20:31:14.147Z,51.8415,-178.05,4.768,4,mb,67,122,0.01,0.69,us,us7000jizi,2023-03-18T18:51:38.257Z,"97 km W of Adak, Alaska",earthquake,11.01,7.703,0.074,51,reviewed,us,us
2023-03-10T18:11:48.511Z,51.8766,-178.1068,10.999,3.9,mb,58,99,0.039,0.6,us,us7000jix7,2023-03-18T18:51:37.808Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,7.91,6.442,0.09,32,reviewed,us,us
2023-03-10T15:30:55.920Z,37.2022,-104.7467,2.607,3.5,ml,21,61,0.085,0.52,us,us7000jivk,2023-03-11T15:35:39.193Z,"8 km N of Segundo, Colorado",earthquake,1.92,5.96,0.05,85,reviewed,us,us
2023-03-10T14:03:03.688Z,37.7161,-107.8522,4.732,3.6,ml,24,67,0.704,0.64,us,us7000jitc,2023-03-19T09:31:46.756Z,"15 km S of Ophir, Colorado",earthquake,1.32,5.195,0.035,108,reviewed,us,us
2023-03-10T11:46:08.961Z,51.3433,178.3363,37.148,3.8,mb,68,213,0.606,0.64,us,us7000jixa,2023-03-20T05:14:14.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,5.79,9.594,0.082,39,reviewed,us,us
2023-03-10T09:18:41.372Z,6.8426,-73.0822,159.388,5.4,mww,113,31,0.944,1.41,us,us7000jirz,2023-03-19T17:11:13.149Z,"12 km N of Jordán, Colombia",earthquake,6.14,5.056,0.06,27,reviewed,us,us
2023-03-10T06:06:47.969Z,37.175,-104.7339,5.574,4.3,mwr,54,55,0.066,0.68,us,us7000jiqv,2023-03-22T06:21:24.754Z,,earthquake,5.19,4.11,0.034,81,reviewed,us,us
2023-03-09T16:50:54.460Z,51.8817,-178.1291,9.32,3.9,mb,79,91,0.033,0.73,us,us7000jikr,2023-03-15T21:06:21.753Z,"102 km W of Adak, Alaska",earthquake,7.08,5.098,0.067,58,reviewed,us,us
2023-03-09T13:30:06.583Z,51.8712,-178.118,10.316,4.1,mb,22,103,0.044,1.06,us,us7000jig7,2023-03-16T23:38:15.083Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,6.02,5.804,0.175,9,reviewed,us,us
2023-03-09T05:42:46.745Z,51.855,-177.9572,4.4,3.4,ml,,,,0.76,ak,ak02334jrv2e,2023-03-16T22:16:42.641Z,"91 km W of Adak, Alaska",earthquake,,0.1,,,reviewed,ak,ak
